text,label
BREAKING: Secret documents PROVE public health is a total hoax invented by the Fed!,FAKE
New study 'they' don't want you to see proves water quality was engineered in a secret lab.,FAKE
Local officials confirmed that road construction on Main Street will begin next month.,REAL
The city council voted 74 to 1 to approve the new public transit budget.,REAL
"Wake up! the UN doesn't want you to know the TRUTH about 5G networks, share before it's deleted!",FAKE
Researchers at Harvard presented preliminary findings on water quality at a scientific conference.,REAL
A new report from the the Fed shows unemployment fell to 74% last quarter.,REAL
Leaked footage shows a famous actor admitting the whole water quality story was FAKE all along.,FAKE
The city council voted 5 to 9 to approve the new public transit budget.,REAL
The World Health Organization released updated guidelines on nutrition based on clinical trial data.,REAL
"Wake up! the FDA doesn't want you to know the TRUTH about artificial intelligence, share before it's deleted!",FAKE
"Quarterly earnings for Acme Corp rose 25% year-over-year, according to the company's official filing.",REAL
Leaked footage shows a popular influencer admitting the whole vaccine safety story was FAKE all along.,FAKE
The city council voted 50 to 2 to approve the new public transit budget.,REAL
Scientists are TERRIFIED of this new discovery about 5G networks that they're hiding from the public.,FAKE
New study 'they' don't want you to see proves artificial intelligence was engineered in a secret lab.,FAKE
New study 'they' don't want you to see proves water quality was engineered in a secret lab.,FAKE
Anonymous insider reveals Globex is secretly controlling public health through mind control chips.,FAKE
Leaked footage shows a tech billionaire admitting the whole water quality story was FAKE all along.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures water quality overnight!!!,FAKE
Scientists are TERRIFIED of this new discovery about public health that they're hiding from the public.,FAKE
URGENT: a popular influencer caught in massive the economy scandal that mainstream media REFUSES to cover.,FAKE
Leaked footage shows a tech billionaire admitting the whole renewable energy story was FAKE all along.,FAKE
The Federal Reserve announced today it will raise interest rates by 8 basis points.,REAL
The World Health Organization released updated guidelines on water quality based on clinical trial data.,REAL
The school board approved a revised curriculum for climate change after a public comment period.,REAL
The World Health Organization released updated guidelines on water quality based on clinical trial data.,REAL
"Quarterly earnings for Globex rose 74% year-over-year, according to the company's official filing.",REAL
This miracle cure for climate change was banned by the Fed because it threatens their profits!,FAKE
The Federal Reserve announced today it will hold interest rates by 74 basis points.,REAL
Scientists are TERRIFIED of this new discovery about vaccine safety that they're hiding from the public.,FAKE
Anonymous insider reveals Umbrella Inc is secretly controlling 5G networks through mind control chips.,FAKE
URGENT: a famous actor caught in massive 5G networks scandal that mainstream media REFUSES to cover.,FAKE
You won't believe what a popular influencer said about the economy - the government doesn't want you to know!,FAKE
SHOCKING: Doctors HATE this one weird trick that cures vaccine safety overnight!!!,FAKE
Leaked footage shows a popular influencer admitting the whole the economy story was FAKE all along.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures climate change overnight!!!,FAKE
Local officials confirmed that road construction on Oak Street will begin next month.,REAL
The city council voted 50 to 4 to approve the new public transit budget.,REAL
A new report from the the CDC shows unemployment fell to 74% last quarter.,REAL
URGENT: a well-known politician caught in massive election security scandal that mainstream media REFUSES to cover.,FAKE
The Federal Reserve announced today it will raise interest rates by 3 basis points.,REAL
The national weather service issued a routine forecast update for the central region this week.,REAL
The World Health Organization released updated guidelines on artificial intelligence based on clinical trial data.,REAL
URGENT: a popular influencer caught in massive artificial intelligence scandal that mainstream media REFUSES to cover.,FAKE
"Quarterly earnings for Acme Corp rose 3% year-over-year, according to the company's official filing.",REAL
This miracle cure for 5G networks was banned by the CDC because it threatens their profits!,FAKE
A new report from the the Fed shows unemployment fell to 8% last quarter.,REAL
"Quarterly earnings for Stark Industries rose 12% year-over-year, according to the company's official filing.",REAL
Local officials confirmed that road construction on Main Street will begin next month.,REAL
SHOCKING: Doctors HATE this one weird trick that cures climate change overnight!!!,FAKE
Scientists are TERRIFIED of this new discovery about election security that they're hiding from the public.,FAKE
"Quarterly earnings for Acme Corp rose 12% year-over-year, according to the company's official filing.",REAL
The national weather service issued a routine forecast update for the northeast region this week.,REAL
"Quarterly earnings for Initech rose 2% year-over-year, according to the company's official filing.",REAL
The school board approved a revised curriculum for vaccine safety after a public comment period.,REAL
Scientists at Yale University published a peer-reviewed study on water quality in the journal Nature.,REAL
The Federal Reserve announced today it will hold interest rates by 61 basis points.,REAL
BREAKING: Secret documents PROVE vaccine safety is a total hoax invented by the Fed!,FAKE
Researchers at MIT presented preliminary findings on public health at a scientific conference.,REAL
The school board approved a revised curriculum for 5G networks after a public comment period.,REAL
Leaked footage shows a well-known politician admitting the whole public health story was FAKE all along.,FAKE
New study 'they' don't want you to see proves artificial intelligence was engineered in a secret lab.,FAKE
URGENT: a tech billionaire caught in massive election security scandal that mainstream media REFUSES to cover.,FAKE
The national weather service issued a routine forecast update for the southern region this week.,REAL
Scientists at Stanford University published a peer-reviewed study on water quality in the journal Nature.,REAL
The World Health Organization released updated guidelines on nutrition based on clinical trial data.,REAL
Scientists are TERRIFIED of this new discovery about water quality that they're hiding from the public.,FAKE
SHOCKING: Doctors HATE this one weird trick that cures vaccine safety overnight!!!,FAKE
"Wake up! the UN doesn't want you to know the TRUTH about climate change, share before it's deleted!",FAKE
Scientists are TERRIFIED of this new discovery about 5G networks that they're hiding from the public.,FAKE
"Wake up! the FDA doesn't want you to know the TRUTH about public health, share before it's deleted!",FAKE
The Federal Reserve announced today it will raise interest rates by 50 basis points.,REAL
Leaked footage shows a tech billionaire admitting the whole public health story was FAKE all along.,FAKE
Anonymous insider reveals Globex is secretly controlling renewable energy through mind control chips.,FAKE
Leaked footage shows a popular influencer admitting the whole artificial intelligence story was FAKE all along.,FAKE
BREAKING: Secret documents PROVE election security is a total hoax invented by the Fed!,FAKE
The World Health Organization released updated guidelines on the economy based on clinical trial data.,REAL
Anonymous insider reveals Umbrella Inc is secretly controlling artificial intelligence through mind control chips.,FAKE
Leaked footage shows a popular influencer admitting the whole the economy story was FAKE all along.,FAKE
BREAKING: Secret documents PROVE climate change is a total hoax invented by the UN!,FAKE
URGENT: a popular influencer caught in massive 5G networks scandal that mainstream media REFUSES to cover.,FAKE
New study 'they' don't want you to see proves nutrition was engineered in a secret lab.,FAKE
Scientists at Harvard University published a peer-reviewed study on nutrition in the journal Nature.,REAL
Local officials confirmed that road construction on Oak Street will begin next month.,REAL
This miracle cure for water quality was banned by the Fed because it threatens their profits!,FAKE
Scientists at MIT University published a peer-reviewed study on 5G networks in the journal Nature.,REAL
Scientists at Oxford University published a peer-reviewed study on climate change in the journal Nature.,REAL
New study 'they' don't want you to see proves water quality was engineered in a secret lab.,FAKE
URGENT: a well-known politician caught in massive climate change scandal that mainstream media REFUSES to cover.,FAKE
"Wake up! the CDC doesn't want you to know the TRUTH about the economy, share before it's deleted!",FAKE
Anonymous insider reveals Initech is secretly controlling 5G networks through mind control chips.,FAKE
This miracle cure for artificial intelligence was banned by the FBI because it threatens their profits!,FAKE
"Wake up! the FBI doesn't want you to know the TRUTH about water quality, share before it's deleted!",FAKE
BREAKING: Secret documents PROVE climate change is a total hoax invented by the CDC!,FAKE
Local officials confirmed that road construction on Elm Street will begin next month.,REAL
New study 'they' don't want you to see proves 5G networks was engineered in a secret lab.,FAKE
The national weather service issued a routine forecast update for the northeast region this week.,REAL
"Quarterly earnings for Umbrella Inc rose 3% year-over-year, according to the company's official filing.",REAL
The Federal Reserve announced today it will lower interest rates by 5 basis points.,REAL
This miracle cure for public health was banned by the Fed because it threatens their profits!,FAKE
Local officials confirmed that road construction on Elm Street will begin next month.,REAL
The Federal Reserve announced today it will hold interest rates by 3 basis points.,REAL
URGENT: a well-known politician caught in massive renewable energy scandal that mainstream media REFUSES to cover.,FAKE
The school board approved a revised curriculum for 5G networks after a public comment period.,REAL
Anonymous insider reveals Globex is secretly controlling 5G networks through mind control chips.,FAKE
Scientists at MIT University published a peer-reviewed study on renewable energy in the journal Nature.,REAL
Scientists are TERRIFIED of this new discovery about renewable energy that they're hiding from the public.,FAKE
This miracle cure for climate change was banned by the UN because it threatens their profits!,FAKE
The school board approved a revised curriculum for the economy after a public comment period.,REAL
The city council voted 61 to 1 to approve the new public transit budget.,REAL
Scientists at MIT University published a peer-reviewed study on nutrition in the journal Nature.,REAL
The Federal Reserve announced today it will lower interest rates by 25 basis points.,REAL
A new report from the the FBI shows unemployment fell to 3% last quarter.,REAL
Scientists are TERRIFIED of this new discovery about public health that they're hiding from the public.,FAKE
Scientists at MIT University published a peer-reviewed study on 5G networks in the journal Nature.,REAL
"Quarterly earnings for Globex rose 2% year-over-year, according to the company's official filing.",REAL
Researchers at Oxford presented preliminary findings on nutrition at a scientific conference.,REAL
"Wake up! the FBI doesn't want you to know the TRUTH about nutrition, share before it's deleted!",FAKE
"Wake up! the FBI doesn't want you to know the TRUTH about artificial intelligence, share before it's deleted!",FAKE
URGENT: a well-known politician caught in massive water quality scandal that mainstream media REFUSES to cover.,FAKE
You won't believe what a popular influencer said about 5G networks - the government doesn't want you to know!,FAKE
Local officials confirmed that road construction on Oak Street will begin next month.,REAL
Scientists are TERRIFIED of this new discovery about renewable energy that they're hiding from the public.,FAKE
The school board approved a revised curriculum for climate change after a public comment period.,REAL
The school board approved a revised curriculum for 5G networks after a public comment period.,REAL
The World Health Organization released updated guidelines on the economy based on clinical trial data.,REAL
Anonymous insider reveals Acme Corp is secretly controlling climate change through mind control chips.,FAKE
Scientists at Cambridge University published a peer-reviewed study on artificial intelligence in the journal Nature.,REAL
"Quarterly earnings for Acme Corp rose 3% year-over-year, according to the company's official filing.",REAL
The national weather service issued a routine forecast update for the central region this week.,REAL
A new report from the the CDC shows unemployment fell to 2% last quarter.,REAL
"Quarterly earnings for Umbrella Inc rose 74% year-over-year, according to the company's official filing.",REAL
You won't believe what a well-known politician said about the economy - the government doesn't want you to know!,FAKE
The Federal Reserve announced today it will lower interest rates by 3 basis points.,REAL
"Wake up! the Fed doesn't want you to know the TRUTH about the economy, share before it's deleted!",FAKE
"Wake up! the CDC doesn't want you to know the TRUTH about vaccine safety, share before it's deleted!",FAKE
"Wake up! the FBI doesn't want you to know the TRUTH about renewable energy, share before it's deleted!",FAKE
Leaked footage shows a popular influencer admitting the whole nutrition story was FAKE all along.,FAKE
